study,noise_model,aspect,res_size,method,pass_rate,median_be,n_runs
fossils_followup,a_and_b,50,1e-10,fossils,0.65,8.985421530199483e-17,20
fossils_followup,a_and_b,50,1e-10,iter_sketch_mom,0.0,5.628462373448266e-15,20
fossils_followup,a_and_b,50,1e-10,qr_ref,1.0,2.5400596123701495e-16,20
fossils_followup,a_and_b,50,1e-10,sketch_pre_cold,0.0,8.466221268984954e-10,20
fossils_followup,a_and_b,50,1e-10,sketch_pre_warm,0.0,2.4755745640905406e-12,20
fossils_followup,a_and_b,50,1e-10,sketch_solve,0.0,0.000562846671606496,20
fossils_followup,a_and_b,50,1e-10,spir,1.0,1.0980415537458624e-17,20
fossils_followup,a_and_b,50,1e-06,fossils,0.65,9.135678272451105e-17,20
fossils_followup,a_and_b,50,1e-06,iter_sketch_mom,0.0,5.6272291620346986e-15,20
fossils_followup,a_and_b,50,1e-06,qr_ref,1.0,2.742668724390001e-16,20
fossils_followup,a_and_b,50,1e-06,sketch_pre_cold,0.0,8.466221321006199e-10,20
fossils_followup,a_and_b,50,1e-06,sketch_pre_warm,0.0,2.4755754256526253e-12,20
fossils_followup,a_and_b,50,1e-06,sketch_solve,0.0,0.0005628466777062567,20
fossils_followup,a_and_b,50,1e-06,spir,1.0,1.2823719186415394e-17,20
fossils_followup,a_and_b,50,0.01,fossils,0.65,8.97081394741726e-17,20
fossils_followup,a_and_b,50,0.01,iter_sketch_mom,0.0,5.6268156572011635e-15,20
fossils_followup,a_and_b,50,0.01,qr_ref,1.0,2.7492046959271713e-16,20
fossils_followup,a_and_b,50,0.01,sketch_pre_cold,0.0,8.466230949852127e-10,20
fossils_followup,a_and_b,50,0.01,sketch_pre_warm,0.0,2.475786509588009e-12,20
fossils_followup,a_and_b,50,0.01,sketch_solve,0.0,0.0005629077319385369,20
fossils_followup,a_and_b,50,0.01,spir,1.0,1.0444982906769415e-17,20
fossils_followup,a_and_b,100,1e-10,fossils,0.75,3.5455751583585576e-17,20
fossils_followup,a_and_b,100,1e-10,iter_sketch_mom,0.0,4.2841546971863145e-15,20
fossils_followup,a_and_b,100,1e-10,qr_ref,1.0,2.66017285950218e-16,20
fossils_followup,a_and_b,100,1e-10,sketch_pre_cold,0.0,1.0334126097254326e-09,20
fossils_followup,a_and_b,100,1e-10,sketch_pre_warm,0.0,4.0892227185801044e-12,20
fossils_followup,a_and_b,100,1e-10,sketch_solve,0.0,0.0005931170532429441,20
fossils_followup,a_and_b,100,1e-10,spir,1.0,1.1305307458156243e-17,20
fossils_followup,a_and_b,100,1e-06,fossils,0.75,3.681107836075077e-17,20
fossils_followup,a_and_b,100,1e-06,iter_sketch_mom,0.0,4.283101429951337e-15,20
fossils_followup,a_and_b,100,1e-06,qr_ref,1.0,2.581023980899834e-16,20
fossils_followup,a_and_b,100,1e-06,sketch_pre_cold,0.0,1.0334126142521444e-09,20
fossils_followup,a_and_b,100,1e-06,sketch_pre_warm,0.0,4.089218532066092e-12,20
fossils_followup,a_and_b,100,1e-06,sketch_solve,0.0,0.0005931170462422017,20
fossils_followup,a_and_b,100,1e-06,spir,1.0,1.1582613397618237e-17,20
fossils_followup,a_and_b,100,0.01,fossils,0.75,3.549997872620559e-17,20
fossils_followup,a_and_b,100,0.01,iter_sketch_mom,0.0,4.2813942181392964e-15,20
fossils_followup,a_and_b,100,0.01,qr_ref,1.0,2.49517512833892e-16,20
fossils_followup,a_and_b,100,0.01,sketch_pre_cold,0.0,1.0334131926939852e-09,20
fossils_followup,a_and_b,100,0.01,sketch_pre_warm,0.0,4.090123348554456e-12,20
fossils_followup,a_and_b,100,0.01,sketch_solve,0.0,0.0005930470799834606,20
fossils_followup,a_and_b,100,0.01,spir,1.0,1.1157525761498671e-17,20
fossils_followup,a_and_b,250,1e-10,fossils,0.85,4.7941966407664686e-17,20
fossils_followup,a_and_b,250,1e-10,iter_sketch_mom,0.0,4.492773232237969e-15,20
fossils_followup,a_and_b,250,1e-10,qr_ref,1.0,2.0967977347652286e-16,20
fossils_followup,a_and_b,250,1e-10,sketch_pre_cold,0.0,8.15960041118789e-10,20
fossils_followup,a_and_b,250,1e-10,sketch_pre_warm,0.0,4.0139585578221365e-12,20
fossils_followup,a_and_b,250,1e-10,sketch_solve,0.0,0.0005755715448716588,20
fossils_followup,a_and_b,250,1e-10,spir,1.0,1.1255843654239802e-17,20
fossils_followup,a_and_b,250,1e-06,fossils,0.85,4.862920105786051e-17,20
fossils_followup,a_and_b,250,1e-06,iter_sketch_mom,0.0,4.494374735699701e-15,20
fossils_followup,a_and_b,250,1e-06,qr_ref,1.0,2.1331884060905187e-16,20
fossils_followup,a_and_b,250,1e-06,sketch_pre_cold,0.0,8.159600352818996e-10,20
fossils_followup,a_and_b,250,1e-06,sketch_pre_warm,0.0,4.013956234490789e-12,20
fossils_followup,a_and_b,250,1e-06,sketch_solve,0.0,0.0005755715441450312,20
fossils_followup,a_and_b,250,1e-06,spir,1.0,1.1351039061555125e-17,20
fossils_followup,a_and_b,250,0.01,fossils,0.85,4.7022109368243185e-17,20
fossils_followup,a_and_b,250,0.01,iter_sketch_mom,0.0,4.492880225784126e-15,20
fossils_followup,a_and_b,250,0.01,qr_ref,1.0,2.0055276842140432e-16,20
fossils_followup,a_and_b,250,0.01,sketch_pre_cold,0.0,8.159598465841498e-10,20
fossils_followup,a_and_b,250,0.01,sketch_pre_warm,0.0,4.0145935104945694e-12,20
fossils_followup,a_and_b,250,0.01,sketch_solve,0.0,0.0005755643031925406,20
fossils_followup,a_and_b,250,0.01,spir,1.0,1.0436089441345177e-17,20
warm_start_followup,b_only,10,0.01,fossils,1.0,1.2760096224505311e-17,20
warm_start_followup,b_only,10,0.01,iter_sketch_mom,0.0,4.717040240433778e-15,20
warm_start_followup,b_only,10,0.01,qr_ref,1.0,2.1147129974061504e-16,20
warm_start_followup,b_only,10,0.01,sketch_pre_cold,0.0,1.1894399262265765e-09,20
warm_start_followup,b_only,10,0.01,sketch_pre_warm,0.0,2.1642210529858146e-15,20
warm_start_followup,b_only,10,0.01,sketch_solve,0.0,2.1894145042442724e-07,20
warm_start_followup,b_only,10,0.01,spir,1.0,1.2330654614243715e-17,20
warm_start_followup,b_only,50,0.01,fossils,0.95,9.633286595331162e-18,20
warm_start_followup,b_only,50,0.01,iter_sketch_mom,0.0,4.767322836569527e-15,20
warm_start_followup,b_only,50,0.01,qr_ref,1.0,2.0496761919922492e-16,20
warm_start_followup,b_only,50,0.01,sketch_pre_cold,0.0,8.029485576475953e-10,20
warm_start_followup,b_only,50,0.01,sketch_pre_warm,0.1,1.3236328894868695e-15,20
warm_start_followup,b_only,50,0.01,sketch_solve,0.0,2.1566241031574344e-07,20
warm_start_followup,b_only,50,0.01,spir,1.0,8.602444055222198e-18,20
warm_start_followup,b_only,100,0.01,fossils,1.0,9.268576618709034e-18,20
warm_start_followup,b_only,100,0.01,iter_sketch_mom,0.0,4.213548420352787e-15,20
warm_start_followup,b_only,100,0.01,qr_ref,1.0,2.1538443165854655e-16,20
