noise_level,noise_model,kappa,res_size,seed,effective_kappa,method,final_be,pass_fail
0.0,b_only,1000000.0,1e-06,0,1000000.0,iter_sketch_mom,6.983065255217613e-15,0
0.0,b_only,1000000.0,1e-06,0,1000000.0,sketch_pre_cold,2.0627939209318584e-09,0
0.0,b_only,1000000.0,1e-06,0,1000000.0,sketch_pre_warm,5.79208167741713e-17,1
0.0,b_only,1000000.0,1e-06,0,1000000.0,fossils,4.618417540537649e-18,1
0.0,b_only,1000000.0,1e-06,0,1000000.0,spir,8.638795338065432e-18,1
0.0,b_only,1000000.0,1e-06,0,1000000.0,qr_ref,0.0,1
0.0,b_only,1000000.0,1e-06,1,1000000.0,iter_sketch_mom,3.9455998603110905e-15,0
0.0,b_only,1000000.0,1e-06,1,1000000.0,sketch_pre_cold,2.6793807965419774e-09,0
0.0,b_only,1000000.0,1e-06,1,1000000.0,sketch_pre_warm,3.397912949305859e-17,1
0.0,b_only,1000000.0,1e-06,1,1000000.0,fossils,5.335835576024358e-18,1
0.0,b_only,1000000.0,1e-06,1,1000000.0,spir,7.895507665487789e-18,1
0.0,b_only,1000000.0,1e-06,1,1000000.0,qr_ref,0.0,1
0.0,b_only,1000000.0,1e-06,2,1000000.0,iter_sketch_mom,1.88419311724802e-13,0
0.0,b_only,1000000.0,1e-06,2,1000000.0,sketch_pre_cold,6.766518332442819e-10,0
0.0,b_only,1000000.0,1e-06,2,1000000.0,sketch_pre_warm,3.2063697470527704e-17,1
0.0,b_only,1000000.0,1e-06,2,1000000.0,fossils,6.793418004780867e-18,1
0.0,b_only,1000000.0,1e-06,2,1000000.0,spir,1.3889886324359226e-17,1
0.0,b_only,1000000.0,1e-06,2,1000000.0,qr_ref,0.0,1
0.0,b_only,1000000.0,1e-06,3,1000000.0,iter_sketch_mom,2.770143857977387e-15,0
0.0,b_only,1000000.0,1e-06,3,1000000.0,sketch_pre_cold,1.1344262596744172e-09,0
0.0,b_only,1000000.0,1e-06,3,1000000.0,sketch_pre_warm,1.6271660521674848e-17,1
0.0,b_only,1000000.0,1e-06,3,1000000.0,fossils,5.973083942433782e-18,1
0.0,b_only,1000000.0,1e-06,3,1000000.0,spir,8.164922263325484e-18,1
0.0,b_only,1000000.0,1e-06,3,1000000.0,qr_ref,0.0,1
0.0,b_only,1000000.0,1e-06,4,1000000.0,iter_sketch_mom,4.111157640698947e-15,0
0.0,b_only,1000000.0,1e-06,4,1000000.0,sketch_pre_cold,8.626773773180135e-10,0
0.0,b_only,1000000.0,1e-06,4,1000000.0,sketch_pre_warm,4.968876189028606e-17,1
0.0,b_only,1000000.0,1e-06,4,1000000.0,fossils,5.180458737679271e-18,1
0.0,b_only,1000000.0,1e-06,4,1000000.0,spir,1.2944799006601242e-17,1
0.0,b_only,1000000.0,1e-06,4,1000000.0,qr_ref,0.0,1
0.0,b_only,1000000.0,1e-06,5,1000000.0,iter_sketch_mom,8.240361044806635e-15,0
0.0,b_only,1000000.0,1e-06,5,1000000.0,sketch_pre_cold,4.086880689030402e-10,0
0.0,b_only,1000000.0,1e-06,5,1000000.0,sketch_pre_warm,3.347738367121599e-17,1
0.0,b_only,1000000.0,1e-06,5,1000000.0,fossils,6.059097211082345e-18,1
0.0,b_only,1000000.0,1e-06,5,1000000.0,spir,1.1363311825500625e-17,1
0.0,b_only,1000000.0,1e-06,5,1000000.0,qr_ref,0.0,1
0.0,b_only,1000000.0,1e-06,6,1000000.0,iter_sketch_mom,2.883787381011015e-12,0
0.0,b_only,1000000.0,1e-06,6,1000000.0,sketch_pre_cold,2.4894375808075075e-10,0
0.0,b_only,1000000.0,1e-06,6,1000000.0,sketch_pre_warm,1.8598339151453062e-17,1
0.0,b_only,1000000.0,1e-06,6,1000000.0,fossils,7.341293811392839e-18,1
0.0,b_only,1000000.0,1e-06,6,1000000.0,spir,3.504370390251351e-18,1
0.0,b_only,1000000.0,1e-06,6,1000000.0,qr_ref,0.0,1
0.0,b_only,1000000.0,1e-06,7,1000000.0,iter_sketch_mom,2.3504358934748016e-13,0
0.0,b_only,1000000.0,1e-06,7,1000000.0,sketch_pre_cold,3.3519151907678557e-09,0
0.0,b_only,1000000.0,1e-06,7,1000000.0,sketch_pre_warm,6.015289362567075e-17,1
0.0,b_only,1000000.0,1e-06,7,1000000.0,fossils,8.239583083532533e-18,1
0.0,b_only,1000000.0,1e-06,7,1000000.0,spir,1.6127975656985124e-17,1
0.0,b_only,1000000.0,1e-06,7,1000000.0,qr_ref,0.0,1
0.0,b_only,1000000.0,1e-06,8,1000000.0,iter_sketch_mom,3.929198041487147e-15,0
0.0,b_only,1000000.0,1e-06,8,1000000.0,sketch_pre_cold,5.927878043532273e-10,0
0.0,b_only,1000000.0,1e-06,8,1000000.0,sketch_pre_warm,4.286009161382206e-17,1
0.0,b_only,1000000.0,1e-06,8,1000000.0,fossils,1.0833691128434781e-17,1
0.0,b_only,1000000.0,1e-06,8,1000000.0,spir,9.484224997191423e-18,1
0.0,b_only,1000000.0,1e-06,8,1000000.0,qr_ref,0.0,1
0.0,b_only,1000000.0,1e-06,9,1000000.0,iter_sketch_mom,4.6304862488539e-15,0
0.0,b_only,1000000.0,1e-06,9,1000000.0,sketch_pre_cold,7.698334629581131e-09,0
0.0,b_only,1000000.0,1e-06,9,1000000.0,sketch_pre_warm,3.50216971292416e-17,1
0.0,b_only,1000000.0,1e-06,9,1000000.0,fossils,5.494683159924232e-18,1
0.0,b_only,1000000.0,1e-06,9,1000000.0,spir,1.4646483114046376e-17,1
0.0,b_only,1000000.0,1e-06,9,1000000.0,qr_ref,0.0,1
0.0,b_only,1000000000000.0,1e-06,0,1000000000000.0,iter_sketch_mom,4.87998044777749e-15,0
0.0,b_only,1000000000000.0,1e-06,0,1000000000000.0,sketch_pre_cold,5.761791406602815e-12,0
0.0,b_only,1000000000000.0,1e-06,0,1000000000000.0,sketch_pre_warm,6.118787687614168e-17,1
0.0,b_only,1000000000000.0,1e-06,0,1000000000000.0,fossils,1.3155287664873971e-17,1
0.0,b_only,1000000000000.0,1e-06,0,1000000000000.0,spir,6.173682973338983e-18,1
0.0,b_only,1000000000000.0,1e-06,0,1000000000000.0,qr_ref,0.0,1
0.0,b_only,1000000000000.0,1e-06,1,1000000000000.0,iter_sketch_mom,3.584938620715587e-15,0
0.0,b_only,1000000000000.0,1e-06,1,1000000000000.0,sketch_pre_cold,5.229238865174196e-12,0
0.0,b_only,1000000000000.0,1e-06,1,1000000000000.0,sketch_pre_warm,1.708150735179152e-17,1
0.0,b_only,1000000000000.0,1e-06,1,1000000000000.0,fossils,4.5018105380232355e-18,1
0.0,b_only,1000000000000.0,1e-06,1,1000000000000.0,spir,1.8919593974255033e-17,1
0.0,b_only,1000000000000.0,1e-06,1,1000000000000.0,qr_ref,0.0,1
0.0,b_only,1000000000000.0,1e-06,2,1000000000000.0,iter_sketch_mom,2.7536814997287647e-13,0
0.0,b_only,1000000000000.0,1e-06,2,1000000000000.0,sketch_pre_cold,4.6940832131853175e-12,0
0.0,b_only,1000000000000.0,1e-06,2,1000000000000.0,sketch_pre_warm,2.983644474561294e-17,1
0.0,b_only,1000000000000.0,1e-06,2,1000000000000.0,fossils,6.52425543841762e-18,1
0.0,b_only,1000000000000.0,1e-06,2,1000000000000.0,spir,3.7455037906105015e-18,1
0.0,b_only,1000000000000.0,1e-06,2,1000000000000.0,qr_ref,0.0,1
0.0,b_only,1000000000000.0,1e-06,3,1000000000000.0,iter_sketch_mom,1.9482696396032026e-15,0
0.0,b_only,1000000000000.0,1e-06,3,1000000000000.0,sketch_pre_cold,5.759863643966688e-12,0
0.0,b_only,1000000000000.0,1e-06,3,1000000000000.0,sketch_pre_warm,3.8350365560870864e-17,1
0.0,b_only,1000000000000.0,1e-06,3,1000000000000.0,fossils,5.887963325614071e-18,1
0.0,b_only,1000000000000.0,1e-06,3,1000000000000.0,spir,3.53429792504139e-18,1
0.0,b_only,1000000000000.0,1e-06,3,1000000000000.0,qr_ref,0.0,1
0.0,b_only,1000000000000.0,1e-06,4,1000000000000.0,iter_sketch_mom,3.734041117122051e-15,0
0.0,b_only,1000000000000.0,1e-06,4,1000000000000.0,sketch_pre_cold,5.7460131235699835e-12,0
0.0,b_only,1000000000000.0,1e-06,4,1000000000000.0,sketch_pre_warm,1.547334588602408e-17,1
0.0,b_only,1000000000000.0,1e-06,4,1000000000000.0,fossils,1.1528502020003338e-17,1
0.0,b_only,1000000000000.0,1e-06,4,1000000000000.0,spir,1.0614694142468485e-17,1
0.0,b_only,1000000000000.0,1e-06,4,1000000000000.0,qr_ref,0.0,1
0.0,b_only,1000000000000.0,1e-06,5,1000000000000.0,iter_sketch_mom,3.2699782295955106e-15,0
0.0,b_only,1000000000000.0,1e-06,5,1000000000000.0,sketch_pre_cold,4.391691070628511e-12,0
0.0,b_only,1000000000000.0,1e-06,5,1000000000000.0,sketch_pre_warm,1.5913734079031146e-17,1
0.0,b_only,1000000000000.0,1e-06,5,1000000000000.0,fossils,4.768123586653818e-18,1
0.0,b_only,1000000000000.0,1e-06,5,1000000000000.0,spir,6.552495792996671e-18,1
0.0,b_only,1000000000000.0,1e-06,5,1000000000000.0,qr_ref,0.0,1
0.0,b_only,1000000000000.0,1e-06,6,1000000000000.0,iter_sketch_mom,2.0235796542826217e-12,0
0.0,b_only,1000000000000.0,1e-06,6,1000000000000.0,sketch_pre_cold,3.832057878180968e-12,0
0.0,b_only,1000000000000.0,1e-06,6,1000000000000.0,sketch_pre_warm,1.2527587180550327e-17,1
0.0,b_only,1000000000000.0,1e-06,6,1000000000000.0,fossils,3.912193099589186e-18,1
0.0,b_only,1000000000000.0,1e-06,6,1000000000000.0,spir,1.3703801057661254e-17,1
0.0,b_only,1000000000000.0,1e-06,6,1000000000000.0,qr_ref,0.0,1
0.0,b_only,1000000000000.0,1e-06,7,1000000000000.0,iter_sketch_mom,2.5135679590036517e-13,0
0.0,b_only,1000000000000.0,1e-06,7,1000000000000.0,sketch_pre_cold,5.478667190903124e-12,0
0.0,b_only,1000000000000.0,1e-06,7,1000000000000.0,sketch_pre_warm,6.822689988418773e-17,1
0.0,b_only,1000000000000.0,1e-06,7,1000000000000.0,fossils,1.2116557599686549e-17,1
0.0,b_only,1000000000000.0,1e-06,7,1000000000000.0,spir,9.912985307654199e-18,1
0.0,b_only,1000000000000.0,1e-06,7,1000000000000.0,qr_ref,0.0,1
0.0,b_only,1000000000000.0,1e-06,8,1000000000000.0,iter_sketch_mom,3.232460144632848e-15,0
0.0,b_only,1000000000000.0,1e-06,8,1000000000000.0,sketch_pre_cold,3.4232852053337794e-12,0
0.0,b_only,1000000000000.0,1e-06,8,1000000000000.0,sketch_pre_warm,3.081977787726683e-17,1
0.0,b_only,1000000000000.0,1e-06,8,1000000000000.0,fossils,1.2983672373573284e-17,1
0.0,b_only,1000000000000.0,1e-06,8,1000000000000.0,spir,4.951988717859536e-18,1
0.0,b_only,1000000000000.0,1e-06,8,1000000000000.0,qr_ref,0.0,1
0.0,b_only,1000000000000.0,1e-06,9,1000000000000.0,iter_sketch_mom,3.787952689547969e-15,0
0.0,b_only,1000000000000.0,1e-06,9,1000000000000.0,sketch_pre_cold,3.998548363807729e-12,0
0.0,b_only,1000000000000.0,1e-06,9,1000000000000.0,sketch_pre_warm,1.8466410671034743e-17,1
0.0,b_only,1000000000000.0,1e-06,9,1000000000000.0,fossils,5.87582702723985e-18,1
0.0,b_only,1000000000000.0,1e-06,9,1000000000000.0,spir,1.0963534881124812e-17,1
0.0,b_only,1000000000000.0,1e-06,9,1000000000000.0,qr_ref,0.0,1
0.001,a_and_b,1000000.0,1e-06,0,4865.075130759405,iter_sketch_mom,4.7116235499313e-15,0
