aspect,kappa,res_size,noise_model,seed,effective_kappa,method,final_be,pass_fail,iters_to_stable
10,1000.0,0.01,b_only,10001,1000.0,iter_sketch_mom,3.359528564141586e-15,0,
10,1000.0,0.01,b_only,10001,1000.0,sketch_pre_cold,2.1540160571187928e-10,0,
10,1000.0,0.01,b_only,10001,1000.0,sketch_pre_warm,7.95294492478076e-16,0,
10,1000.0,0.01,b_only,10001,1000.0,spir,1.0813638052451584e-17,1,15
10,1000.0,0.01,b_only,10001,1000.0,qr_ref,6.465728182059608e-16,1,0
10,1000.0,0.01,b_only,32439,1000.0,iter_sketch_mom,3.069447270594013e-15,0,
10,1000.0,0.01,b_only,32439,1000.0,sketch_pre_cold,8.592758094119814e-10,0,
10,1000.0,0.01,b_only,32439,1000.0,sketch_pre_warm,1.336390627751647e-15,0,
10,1000.0,0.01,b_only,32439,1000.0,spir,1.8121075748997397e-17,1,14
10,1000.0,0.01,b_only,32439,1000.0,qr_ref,1.597479242301571e-16,1,0
10,1000.0,0.01,b_only,20002,1000.0,iter_sketch_mom,3.598883910736982e-15,0,
10,1000.0,0.01,b_only,20002,1000.0,sketch_pre_cold,1.3298302353766561e-09,0,
10,1000.0,0.01,b_only,20002,1000.0,sketch_pre_warm,5.26336412598162e-16,0,
10,1000.0,0.01,b_only,20002,1000.0,spir,1.341189872994825e-17,1,14
10,1000.0,0.01,b_only,20002,1000.0,qr_ref,1.9016596905127557e-16,1,0
10,1000.0,0.01,b_only,30003,1000.0,iter_sketch_mom,5.01525406049905e-15,0,
10,1000.0,0.01,b_only,30003,1000.0,sketch_pre_cold,2.7894180620758107e-10,0,
10,1000.0,0.01,b_only,30003,1000.0,sketch_pre_warm,4.581978977222012e-16,0,
10,1000.0,0.01,b_only,30003,1000.0,spir,1.273768975101482e-17,1,14
10,1000.0,0.01,b_only,30003,1000.0,qr_ref,2.582024557195048e-16,1,0
10,1000.0,0.01,b_only,40004,1000.0,iter_sketch_mom,4.9983951745252284e-14,0,
10,1000.0,0.01,b_only,40004,1000.0,sketch_pre_cold,7.943924970564915e-10,0,
10,1000.0,0.01,b_only,40004,1000.0,sketch_pre_warm,1.0105064458929578e-15,0,
10,1000.0,0.01,b_only,40004,1000.0,spir,9.428144731616671e-18,1,14
10,1000.0,0.01,b_only,40004,1000.0,qr_ref,2.0890890414251047e-16,1,0
10,1000.0,0.01,a_and_b,32439,356.90588337919075,iter_sketch_mom,3.151519589758609e-15,0,
10,1000.0,0.01,a_and_b,32439,356.90588337919075,sketch_pre_cold,1.0905367933391797e-09,0,
10,1000.0,0.01,a_and_b,32439,356.90588337919075,sketch_pre_warm,3.0165941940538988e-12,0,
10,1000.0,0.01,a_and_b,32439,356.90588337919075,spir,1.1910740339673066e-17,1,20
10,1000.0,0.01,a_and_b,32439,356.90588337919075,qr_ref,2.337204948779863e-16,1,0
10,1000.0,0.01,a_and_b,10001,359.9290645991294,iter_sketch_mom,3.218532768662761e-15,0,
10,1000.0,0.01,a_and_b,10001,359.9290645991294,sketch_pre_cold,6.56689787553971e-10,0,
10,1000.0,0.01,a_and_b,10001,359.9290645991294,sketch_pre_warm,2.4430506227585345e-12,0,
10,1000.0,0.01,a_and_b,10001,359.9290645991294,spir,1.539249058995083e-17,1,20
10,1000.0,0.01,a_and_b,10001,359.9290645991294,qr_ref,7.188429130372951e-16,1,0
10,1000.0,0.01,a_and_b,20002,369.19450626799096,iter_sketch_mom,1.6610419959133004e-11,0,
10,1000.0,0.01,a_and_b,20002,369.19450626799096,sketch_pre_cold,1.6373095272469686e-09,0,
10,1000.0,0.01,a_and_b,20002,369.19450626799096,sketch_pre_warm,7.215415629682341e-12,0,
10,1000.0,0.01,a_and_b,20002,369.19450626799096,spir,1.3127745499068808e-17,1,20
10,1000.0,0.01,a_and_b,20002,369.19450626799096,qr_ref,1.9787520706233324e-16,1,0
10,1000.0,0.01,a_and_b,30003,363.3271641883555,iter_sketch_mom,4.786455362935975e-15,0,
10,1000.0,0.01,a_and_b,30003,363.3271641883555,sketch_pre_cold,4.073519884243504e-10,0,
10,1000.0,0.01,a_and_b,30003,363.3271641883555,sketch_pre_warm,3.213462787446387e-12,0,
10,1000.0,0.01,a_and_b,30003,363.3271641883555,spir,1.690270134841372e-17,1,20
10,1000.0,0.01,a_and_b,30003,363.3271641883555,qr_ref,4.417364181029663e-16,1,0
10,1000.0,0.01,a_and_b,40004,364.40025243286516,iter_sketch_mom,3.8538874186602236e-15,0,
10,1000.0,0.01,a_and_b,40004,364.40025243286516,sketch_pre_cold,6.639643615916978e-10,0,
10,1000.0,0.01,a_and_b,40004,364.40025243286516,sketch_pre_warm,4.0108282579378174e-13,0,
10,1000.0,0.01,a_and_b,40004,364.40025243286516,spir,1.3674934023621757e-17,1,20
10,1000.0,0.01,a_and_b,40004,364.40025243286516,qr_ref,2.3145801911959734e-16,1,0
10,1000.0,1e-06,b_only,32439,1000.0,iter_sketch_mom,3.0652563342620714e-15,0,
10,1000.0,1e-06,b_only,32439,1000.0,sketch_pre_cold,8.592758694689996e-10,0,
10,1000.0,1e-06,b_only,32439,1000.0,sketch_pre_warm,2.4237821663330853e-17,1,15
10,1000.0,1e-06,b_only,32439,1000.0,spir,1.3418472216788122e-17,1,8
10,1000.0,1e-06,b_only,32439,1000.0,qr_ref,1.7546145364726295e-16,1,0
10,1000.0,1e-06,b_only,10001,1000.0,iter_sketch_mom,3.3597710135870696e-15,0,
10,1000.0,1e-06,b_only,10001,1000.0,sketch_pre_cold,2.1540162867199513e-10,0,
10,1000.0,1e-06,b_only,10001,1000.0,sketch_pre_warm,3.5373487850869655e-17,1,14
10,1000.0,1e-06,b_only,10001,1000.0,spir,1.3489430392010416e-17,1,9
10,1000.0,1e-06,b_only,10001,1000.0,qr_ref,6.450692546455604e-16,1,0
10,1000.0,1e-06,b_only,20002,1000.0,iter_sketch_mom,3.6031063423852055e-15,0,
10,1000.0,1e-06,b_only,20002,1000.0,sketch_pre_cold,1.3298303199631712e-09,0,
10,1000.0,1e-06,b_only,20002,1000.0,sketch_pre_warm,2.4766273530549998e-17,1,14
10,1000.0,1e-06,b_only,20002,1000.0,spir,1.0429044792942716e-17,1,9
10,1000.0,1e-06,b_only,20002,1000.0,qr_ref,1.9219425591118333e-16,1,0
10,1000.0,1e-06,b_only,30003,1000.0,iter_sketch_mom,5.016741650953954e-15,0,
